match_id,league_id,season,date,home_team_id,away_team_id,home_score,away_score,status,referee,venue,bookmaker,home_odds,draw_odds,away_odds,event_date,home_team_name,away_team_name,player_id,team_id,name,age,nationality,position,height,weight,appearances,goals,assists,yellow_cards,red_cards,country,founded,logo,venue_name,venue_address,venue_city,venue_capacity
831281,113.0,2022.0,2022-04-26,374.0,378.0,1.0,2.0,FT,G. Maqedonci,Guldfågeln Arena,,,,,,,,,,,,,,,,,,,,,,,,,,,
831282,113.0,2022.0,2022-04-25,375.0,366.0,1.0,0.0,FT,A. Ekberg,Eleda Stadion,,,,,,,,,,,,,,,,,,,,,,,,,,,
831283,113.0,2022.0,2022-04-24,2171.0,2240.0,0.0,0.0,FT,K. Karlsson,Varberg Energi Arena,,,,,,,,,,,,,,,,,,,,,,,,,,,
831284,113.0,2022.0,2022-05-01,367.0,2171.0,3.0,1.0,FT,J. Östling,Bravida Arena,,,,,,,,,,,,,,,,,,,,,,,,,,,
831285,113.0,2022.0,2022-05-01,2172.0,372.0,0.0,6.0,FT,A. Ladebäck,Stora Valla,,,,,,,,,,,,,,,,,,,,,,,,,,,
831286,113.0,2022.0,2022-04-30,364.0,370.0,4.0,0.0,FT,V. Wolf,Tele2 Arena,,,,,,,,,,,,,,,,,,,,,,,,,,,
831287,113.0,2022.0,2022-05-02,363.0,375.0,0.0,0.0,FT,G. Nyberg,Tele2 Arena,,,,,,,,,,,,,,,,,,,,,,,,,,,
831288,113.0,2022.0,2022-05-02,366.0,374.0,1.0,2.0,FT,M. Al Hakim,Gamla Ullevi,,,,,,,,,,,,,,,,,,,,,,,,,,,
831289,113.0,2022.0,2022-05-02,378.0,2163.0,2.0,0.0,FT,F. Klitte,PlatinumCars Arena,,,,,,,,,,,,,,,,,,,,,,,,,,,
831290,113.0,2022.0,2022-05-01,2240.0,811.0,2.0,1.0,FT,G. Maqedonci,Strandvallen,,,,,,,,,,,,,,,,,,,,,,,,,,,
831291,113.0,2022.0,2022-05-01,373.0,377.0,0.0,2.0,FT,A. Ekberg,NP3 Arena,,,,,,,,,,,,,,,,,,,,,,,,,,,
831292,113.0,2022.0,2022-05-07,377.0,366.0,1.0,0.0,FT,V. Wolf,Friends Arena,,,,,,,,,,,,,,,,,,,,,,,,,,,
831293,113.0,2022.0,2022-05-09,811.0,378.0,0.0,1.0,FT,M. Al Hakim,Olympia,,,,,,,,,,,,,,,,,,,,,,,,,,,
831294,113.0,2022.0,2022-05-09,372.0,364.0,0.0,0.0,FT,A. Ekberg,Borås Arena,,,,,,,,,,,,,,,,,,,,,,,,,,,
831295,113.0,2022.0,2022-05-09,2163.0,367.0,1.0,2.0,FT,K. Karlsson,Finnvedsvallen,,,,,,,,,,,,,,,,,,,,,,,,,,,
831296,113.0,2022.0,2022-05-08,374.0,363.0,2.0,0.0,FT,F. Klitte,Guldfågeln Arena,,,,,,,,,,,,,,,,,,,,,,,,,,,
831297,113.0,2022.0,2022-05-07,375.0,2240.0,2.0,0.0,FT,B. Pandzic,Eleda Stadion,,,,,,,,,,,,,,,,,,,,,,,,,,,
831298,113.0,2022.0,2022-05-09,373.0,2172.0,2.0,3.0,FT,G. Maqedonci,NP3 Arena,,,,,,,,,,,,,,,,,,,,,,,,,,,
831299,113.0,2022.0,2022-05-08,2171.0,370.0,0.0,2.0,FT,K. Sjöberg,Varberg Energi Arena,,,,,,,,,,,,,,,,,,,,,,,,,,,
831300,113.0,2022.0,2022-05-15,367.0,374.0,3.0,1.0,FT,V. Wolf,Bravida Arena,,,,,,,,,,,,,,,,,,,,,,,,,,,
831301,113.0,2022.0,2022-05-15,2172.0,811.0,2.0,1.0,FT,J. Östling,Stora Valla,,,,,,,,,,,,,,,,,,,,,,,,,,,
831302,113.0,2022.0,2022-05-16,364.0,375.0,4.0,0.0,FT,M. Al Hakim,Tele2 Arena,,,,,,,,,,,,,,,,,,,,,,,,,,,
